"","V1","V2","V3"
"1",0.73721257045369,0,0.2628080816834
"2",0.16590226288169,0.668793469048185,0.164887764343522
"3",0.99409692337345,0,0.00571533615321569
"4",0.0915790488482168,0.730496192930852,0.177498198204538
"5",0.188633761709572,0.62838195181596,0.182604220631067
"6",0.760982456449746,0.238700135508407,0
"7",0.59282598496141,0.313236301649225,0.0936437710600541
"8",0.529104145429866,0.470483117825242,0
"9",0.993989686274399,0,0.00582459278131814
"10",0.915195470106005,0.0845499401259408,0
"11",0.702628336295549,0.297030004252519,0
"12",0.542118459744788,0.457474134307292,0
"13",0,0.999357114935805,0
"14",0,0.965633765856472,0.0337560140520338
"15",0.10380205120496,0.892045741103602,0.0035504161046319
"16",0.222129044182938,0.0338055837668864,0.744302238758472
"17",0.0171791247053345,0.761146073181606,0.221254848669016
"18",0.172354144396455,0.686732174644625,0.140474906182872
"19",0.202650230084744,0.674258481431074,0.122654026904632
"20",0.999103750607497,0,0.00068557067333048
"21",0.699828401120829,0.29982983943221,0
"22",0,0.961974976094454,0.0374218392407714
"23",0.516089831114938,0.483492101343198,0
"24",0.0921593723346994,0.90723355272402,0
"25",0,0.766911357125877,0.232676232173091
"26",0.7640587956436,0.235627150189141,0
"27",0.567726499848715,0.43187728144473,0
"28",0,0.960236425147018,0.0391634979626213
"29",0,0.972881270141833,0.0265025470121592
"30",0.981805211277557,0.017968529876543,0
"31",0,0.936136224305223,0.0633173283458646
"32",0.494399307256732,0.505173740539783,0
"33",0.494399307256732,0.505173740539783,0
"34",0,0.868821302036403,0.13066718882523
"35",0,0.847860794970871,0.151648787453653
"36",0.992207343233099,0,0.00761766887009336
"37",0,0.60720417986045,0.392574571275295
"38",0.07989946188001,0.885053467616198,0.0344650295458559
"39",0,0.956442348796065,0.042968613543127
"40",0.79973321654278,0,0.200184455731029
"41",0.327005464179002,0.667022274585206,0.00547126248904508
"42",0,0.937925743178605,0.0615044594024006
"43",0.0354323733181793,0.879568030179758,0.0844485760460728
"44",0.996310057616259,0,0.00349548591502105
"45",0.151606562778729,0.758316038739297,0.0895818709834417
"46",0.975232574739427,0,0.0246645204287527
"47",0.0774049134448068,0.853719803389956,0.0683286437498845
"48",0,0.922290714929507,0.0771490499000884
"49",0.512158282155692,0.0305417609348474,0.45734971794386
"50",0.594175717004493,0.405438200235475,0
"51",0.0317151215008923,0.616282295379601,0.351712853138672
"52",0.116453902823079,0.844738089731106,0.0382482158381372
"53",0.624121861880059,0.375505019533598,0
"54",0.615025063810837,0.384598789385594,0
"55",0.061792638933205,0.937587847599246,0
"56",0.076491150269615,0.922892191511005,0
"57",0,0.518244277052048,0.481620177338628
"58",0.581161402689566,0.41844718375343,0
"59",0.714380885032675,0.285284363254629,0
"60",0.613486894213924,0.386135282045213,0
"61",0.524345452132287,0.475240559837918,0
"62",0.738570026646599,0.00701259986465522,0.254338122083978
"63",0,0.999371402815629,0
"64",0.957128120671834,0,0.0428587646118476
"65",0.109788695969887,0.258113710464687,0.632147531942073
"66",0.613486894213924,0.386135282045213,0
"67",0.134184327141341,0.860811294575196,0.00441594841653024
"68",0.82003356914901,0.179676002451364,0
"69",0.999223929036784,0,0.000565269564802243
"70",0.844524028181936,0.155194528075089,0
"71",0.108384546328725,0.891014822989434,0
"72",0.498737412028366,0.500837412700474,0
"73",0.53302166167557,0.466567904159282,0
"74",0.218532115942302,0.72087025608382,0.0601026344049984
"75",0.101465645270548,0.743885671529273,0.154194906969358
"76",0.595713886601417,0.403901707575844,0
"77",0.07588750413814,0.904550718766296,0.0189617922024174
"78",0,0.930592699784498,0.0688463613512391
"79",0.699828401120829,0.29982983943221,0
"80",0.0551307926875766,0.891869603922031,0.0524234702267685
"81",0.0149759497132274,0.534609021465539,0.45024264453028
"82",0.962752487839713,0,0.0371955483241991
"83",0.0064743161069173,0.942224621437928,0.0507103561509047
"84",0.0445359803421943,0.895111208136524,0.059781766506169
"85",0.103044860581947,0.888805622969373,0.00755058076738465
"86",0,0.999359850652238,0
"87",0.124163132652093,0.649818864921668,0.225649212910457
"88",0.163344583152818,0.830612180720737,0.00546776523336288
"89",0.188794594805434,0.810161817514523,0.0004753860231229
"90",0.933665470263567,0.0660892502823897,0
"91",0.871249649356854,0.128482296726252,0
"92",0,0.799991538984031,0.199562162292603
"93",0.641474280966621,0.358159708176333,0
"94",0.529104145429866,0.470483117825242,0
"95",0.0705229149662669,0.896379679964616,0.0325093608190655
"96",0.244587279573465,0.656187769272194,0.0987829952088209
"97",0.123980751172679,0.813063661609871,0.0624236767699233
"98",0.40831944846622,0.385699999229248,0.20573571792439
"99",0.749085723205808,0.250593740540088,0
"100",0.820454157674939,0.179254888278015,0
"101",0.235871638055865,0.449694430201134,0.31420187313353
"102",0,0.954794104782493,0.0446207366094295
"103",0,0.905415921824487,0.0940771584642109
"104",0,0.956014204361454,0.0433848459001227
"105",0.546456564516432,0.453137806467972,0
"106",0.940803510209932,0.058953087263379,0
"107",0.112817734856715,0.864346726615388,0.0222572136132362
"108",0.164859928497836,0.822889909499581,0.0116830289232777
"109",0.00822930118317443,0.951798709757622,0.0393722645363335
"110",0.123026950007945,0.644561209651909,0.232051611978229
"111",0.667082321070548,0.332562855313771,0
